run_id,model_size,method,seed,provenance,final_table,process_curve,step60_table,validation_format_step60,validation_format_step100,training_format_step60,training_format_step100,first_validation_format_ge_0p8,first_training_format_ge_0p8,bfcl_v4_final_average_accuracy,bfcl_v4_final_average_format,bfcl_v4_step60_average_accuracy,bfcl_v4_step60_average_format,evaluation_source,metrics_snapshot,original_metrics
1.5b-dvao-s1,1.5B,dvao,1,本机原始训练,未收敛，排除,未选入这组实验,未选入这组实验,0.0875,0.1125,0.0703125,0.11328125,,,49.26737396167448,17.782456252222403,,,reference/per_model.csv,reference/training_logs/1.5b/dvao_s1.jsonl,/scratch.global/lian0190/RD-GDPO/results/figure1/dvao_seed1/metrics.jsonl
1.5b-dvao-s2,1.5B,dvao,2,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.0875,0.9625,0.1005859375,0.392578125,100,,50.102012912246074,92.4552414392495,,,reference/per_model.csv,reference/training_logs/1.5b/dvao_s2.jsonl,/scratch.global/lian0190/RD-GDPO/results/figure1/dvao_seed2/metrics.jsonl
haotian_1p5b_dvao_s3_save10,1.5B,dvao,3,PR租机1.5B,未选入这组实验,纳入,纳入,0.975,0.975,0.89794921875,0.947265625,40,37,48.243687803273296,94.64343042451466,49.96312402335719,85.62985771507114,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,rental_1p5b_20260919/training/runs/haotian_1p5b_dvao_s3_save10/metrics.jsonl,/users/2/lian0190/DARA-paper-20260920/results/rental_1p5b_20260919/training/runs/haotian_1p5b_dvao_s3_save10/metrics.jsonl
haotian_1p5b_dvao_s4_save10,1.5B,dvao,4,PR租机1.5B,纳入,未选入过程图,未收敛，排除,0.0875,0.9625,0.0673828125,0.86474609375,100,99,45.59483715766099,91.29310780000495,49.360350357759685,7.864167892004681,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,rental_1p5b_20260919/training/runs/haotian_1p5b_dvao_s4_save10/metrics.jsonl,/users/2/lian0190/DARA-paper-20260920/results/rental_1p5b_20260919/training/runs/haotian_1p5b_dvao_s4_save10/metrics.jsonl
haotian_1p5b_dvao_s5_save10,1.5B,dvao,5,PR租机1.5B,未收敛，排除,未收敛，排除,未收敛，排除,0.0625,0.0875,0.03759765625,0.0615234375,,,49.1458076322066,11.032976293938674,48.084207171642404,3.1778372554692202,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,rental_1p5b_20260919/training/runs/haotian_1p5b_dvao_s5_save10/metrics.jsonl,/users/2/lian0190/DARA-paper-20260920/results/rental_1p5b_20260919/training/runs/haotian_1p5b_dvao_s5_save10/metrics.jsonl
haotian_1p5b_gd2po_hard_s0_save10,1.5B,gd2po_hard,0,PR租机1.5B,未选入这组实验,未选入过程图,未收敛，排除,0.0875,0.975,0.103515625,0.9267578125,70,65,51.32921601283,91.8160511609214,49.29948494942018,8.121160120185543,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,rental_1p5b_20260919/training/runs/haotian_1p5b_gd2po_hard_s0_save10/metrics.jsonl,/users/2/lian0190/DARA-paper-20260920/results/rental_1p5b_20260919/training/runs/haotian_1p5b_gd2po_hard_s0_save10/metrics.jsonl
1.5b-gd2po_hard-s0,1.5B,gd2po_hard,0,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.975,0.975,0.93017578125,0.93896484375,30,26,51.295393330043595,96.49309966990289,,,reference/per_model.csv,reference/training_logs/1.5b/gd2po_hard_s0.jsonl,/scratch.global/lian0190/RD-GDPO/results/figure1/gd2po_hard_seed0/metrics.jsonl
1.5b-gd2po_hard-s1,1.5B,gd2po_hard,1,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.975,0.975,0.92919921875,0.95361328125,50,44,51.221538572251,95.55672931369418,,,reference/per_model.csv,reference/training_logs/1.5b/gd2po_hard_s1.jsonl,/scratch.global/lian0190/RD-GDPO/results/figure1/gd2po_hard_seed1/metrics.jsonl
1.5b-gd2po_hard-s2,1.5B,gd2po_hard,2,本机原始训练,未收敛，排除,未选入这组实验,未选入这组实验,0.0875,0.0875,0.09423828125,0.06982421875,,,49.77211324944486,11.887619527313847,,,reference/per_model.csv,reference/training_logs/1.5b/gd2po_hard_s2.jsonl,/scratch.global/lian0190/RD-GDPO/results/figure1/gd2po_hard_seed2/metrics.jsonl
haotian_1p5b_gd2po_hard_s4_save10,1.5B,gd2po_hard,4,PR租机1.5B,纳入,纳入,纳入,0.975,0.975,0.93603515625,0.95263671875,20,21,49.5685192038819,97.00476614075487,50.69098507278559,90.09374381070442,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,rental_1p5b_20260919/training/runs/haotian_1p5b_gd2po_hard_s4_save10/metrics.jsonl,/users/2/lian0190/DARA-paper-20260920/results/rental_1p5b_20260919/training/runs/haotian_1p5b_gd2po_hard_s4_save10/metrics.jsonl
haotian_1p5b_gd2po_hard_s5_save10,1.5B,gd2po_hard,5,PR租机1.5B,未收敛，排除,未收敛，排除,未收敛，排除,0.0625,0.0625,0.02685546875,0.02978515625,,,46.68592709104367,1.9916849262016048,48.60594004441155,0.8754652506177953,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,rental_1p5b_20260919/training/runs/haotian_1p5b_gd2po_hard_s5_save10/metrics.jsonl,/users/2/lian0190/DARA-paper-20260920/results/rental_1p5b_20260919/training/runs/haotian_1p5b_gd2po_hard_s5_save10/metrics.jsonl
haotian_1p5b_dara_s0_save10,1.5B,dara,0,PR租机1.5B,未选入这组实验,纳入,纳入,0.975,0.975,0.921875,0.9375,20,14,51.0002158894646,96.87449256015778,50.588288510568304,95.88030568475587,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,rental_1p5b_20260919/training/runs/haotian_1p5b_dara_s0_save10/metrics.jsonl,/users/2/lian0190/DARA-paper-20260920/results/rental_1p5b_20260919/training/runs/haotian_1p5b_dara_s0_save10/metrics.jsonl
1.5b-dara-s0,1.5B,dara,0,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.975,0.975,0.93212890625,0.9365234375,20,14,50.60732276503002,97.73552821967321,,,reference/per_model.csv,reference/training_logs/1.5b/dara_s0.jsonl,/scratch.global/lian0190/RD-GDPO/results/figure1/rdgdpo_seed0/metrics.jsonl
haotian_1p5b_dara_s1_save10,1.5B,dara,1,PR租机1.5B,未选入这组实验,纳入,纳入,0.975,0.975,0.94140625,0.9462890625,10,13,51.80470741837322,98.47768586821883,51.19212620281273,97.30518120642999,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,rental_1p5b_20260919/training/runs/haotian_1p5b_dara_s1_save10/metrics.jsonl,/users/2/lian0190/DARA-paper-20260920/results/rental_1p5b_20260919/training/runs/haotian_1p5b_dara_s1_save10/metrics.jsonl
1.5b-dara-s1,1.5B,dara,1,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.975,0.975,0.939453125,0.95361328125,20,16,51.51541039559174,97.73244814487873,,,reference/per_model.csv,reference/training_logs/1.5b/dara_s1.jsonl,/scratch.global/lian0190/RD-GDPO/results/figure1/rdgdpo_seed1/metrics.jsonl
haotian_1p5b_dara_s2_save10,1.5B,dara,2,PR租机1.5B,未选入这组实验,纳入,纳入,0.975,0.975,0.935546875,0.92724609375,10,13,51.153564232255945,97.37813100672037,51.053972366148535,94.98034134054267,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,rental_1p5b_20260919/training/runs/haotian_1p5b_dara_s2_save10/metrics.jsonl,/users/2/lian0190/DARA-paper-20260920/results/rental_1p5b_20260919/training/runs/haotian_1p5b_dara_s2_save10/metrics.jsonl
1.5b-dara-s2,1.5B,dara,2,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.975,0.975,0.935546875,0.92822265625,20,15,52.15029504893495,96.41767118008707,,,reference/per_model.csv,reference/training_logs/1.5b/dara_s2.jsonl,/scratch.global/lian0190/RD-GDPO/results/figure1/rdgdpo_seed2/metrics.jsonl
1.5b-dara-s4,1.5B,dara,4,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.975,0.975,0.9306640625,0.9423828125,10,13,51.40960913726458,98.00948598141747,,,reference/per_model.csv,reference/training_logs/1.5b/dara_s4.jsonl,/scratch.global/lian0190/RD-GDPO/results/figure1/rdgdpo_seed4/metrics.jsonl
1.5b-dara-s5,1.5B,dara,5,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.975,0.975,0.96484375,0.958984375,30,29,50.182735011102885,97.86687574073714,,,reference/per_model.csv,reference/training_logs/1.5b/dara_s5.jsonl,/scratch.global/lian0190/RD-GDPO/results/figure1/rdgdpo_seed5/metrics.jsonl
3b-grpo-s0,3B,grpo,0,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.975,0.9875,0.9423828125,0.947265625,20,19,52.74294247059791,89.82319631381615,,,reference/per_model.csv,reference/training_logs/3b/grpo_s0.jsonl,/scratch.global/lian0190/RD-GDPO-3B/20260913/haotian/grpo_seed0/metrics.jsonl
3b-grpo-s1,3B,grpo,1,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.975,0.9875,0.93115234375,0.9453125,20,19,52.86483777448804,89.55248772259905,,,reference/per_model.csv,reference/training_logs/3b/grpo_s1.jsonl,/scratch.global/lian0190/RD-GDPO-3B/20260913/haotian/grpo_seed1/metrics.jsonl
3b-grpo-s2,3B,grpo,2,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.975,0.9875,0.9384765625,0.94921875,20,20,52.13640616004606,88.53025573060349,,,reference/per_model.csv,reference/training_logs/3b/grpo_s2.jsonl,/scratch.global/lian0190/RD-GDPO-3B/20260913/haotian/grpo_seed2/metrics.jsonl
3b-grpo-s4,3B,grpo,4,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.9625,0.9875,0.9228515625,0.953125,20,21,52.057812114483106,89.1163181373453,,,reference/per_model.csv,reference/training_logs/3b/grpo_s4.jsonl,/scratch.global/lian0190/RD-GDPO-3B/20260913/haotian/grpo_seed4/metrics.jsonl
3b-grpo-s5,3B,grpo,5,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.9875,0.9875,0.95361328125,0.95751953125,20,18,53.029869849494204,86.76737556901399,,,reference/per_model.csv,reference/training_logs/3b/grpo_s5.jsonl,/scratch.global/lian0190/RD-GDPO-3B/20260913/haotian/grpo_seed5/metrics.jsonl
3b-gdpo-s0,3B,gdpo,0,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.975,0.975,0.96142578125,0.96337890625,10,14,52.99931635002878,96.56058375599802,,,reference/per_model.csv,reference/training_logs/3b/gdpo_s0.jsonl,/scratch.global/lian0190/RD-GDPO-3B/20260913/haotian/gdpo_seed0/metrics.jsonl
3b-gdpo-s1,3B,gdpo,1,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.975,0.9875,0.96533203125,0.9619140625,10,11,54.35021383337445,97.17637651562889,,,reference/per_model.csv,reference/training_logs/3b/gdpo_s1.jsonl,/scratch.global/lian0190/RD-GDPO-3B/20260913/haotian/gdpo_seed1/metrics.jsonl
3b-gdpo-s2,3B,gdpo,2,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.975,0.975,0.962890625,0.9638671875,10,9,52.763040751706555,95.26480024436526,,,reference/per_model.csv,reference/training_logs/3b/gdpo_s2.jsonl,/scratch.global/lian0190/RD-GDPO-3B/20260913/haotian/gdpo_seed2/metrics.jsonl
3b-gdpo-s4,3B,gdpo,4,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.975,0.975,0.96484375,0.9638671875,10,12,54.9739853195164,97.0335538854374,,,reference/per_model.csv,reference/training_logs/3b/gdpo_s4.jsonl,/scratch.global/lian0190/RD-GDPO-3B/20260913/haotian/gdpo_seed4/metrics.jsonl
3b-gdpo-s5,3B,gdpo,5,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.975,1.0,0.97802734375,0.97509765625,10,12,53.20675014392631,96.8190602865914,,,reference/per_model.csv,reference/training_logs/3b/gdpo_s5.jsonl,/scratch.global/lian0190/RD-GDPO-3B/20260913/haotian/gdpo_seed5/metrics.jsonl
haotian_3b_dvao_s0_save10,3B,dvao,0,本机3B过程训练,纳入,纳入,纳入,0.975,1.0,0.96923828125,0.9697265625,20,13,54.00062196726705,97.43884050297028,53.7551967678263,95.9663026585636,inputs/local_3b_seed0_evaluation.csv,paper_bfcl_v4_20260920/inputs/haotian_3b_dvao_s0_save10.metrics.jsonl,/users/2/lian0190/DARA-paper-20260920/results/paper_bfcl_v4_20260920/inputs/haotian_3b_dvao_s0_save10.metrics.jsonl
haotian_3b_dvao_s1_save10,3B,dvao,1,PR租机3B,纳入,纳入,纳入,0.975,0.975,0.95849609375,0.96044921875,20,13,54.175538695616424,96.52277545451416,53.85592976396085,91.99941124762819,rental_3b_20260920/evaluation/checkpoint_per_model.csv,rental_3b_20260920/training/runs/haotian_3b_dvao_s1_save10/metrics.jsonl,/users/2/lian0190/DARA-paper-20260920/results/rental_3b_20260920/training/runs/haotian_3b_dvao_s1_save10/metrics.jsonl
haotian_3b_dvao_s2_save10,3B,dvao,2,PR租机3B,纳入,纳入,纳入,0.975,0.975,0.96484375,0.95751953125,10,12,54.474149806727524,97.14744152272938,53.23730364339173,93.40984541981709,rental_3b_20260920/evaluation/checkpoint_per_model.csv,rental_3b_20260920/training/runs/haotian_3b_dvao_s2_save10/metrics.jsonl,/users/2/lian0190/DARA-paper-20260920/results/rental_3b_20260920/training/runs/haotian_3b_dvao_s2_save10/metrics.jsonl
haotian_3b_gd2po_hard_s0_save10,3B,gd2po_hard,0,本机3B过程训练,纳入,纳入,纳入,0.975,0.9875,0.9619140625,0.96875,10,11,52.65536331112756,97.56736970009634,52.81328645447817,91.995805615455,inputs/local_3b_seed0_evaluation.csv,paper_bfcl_v4_20260920/inputs/haotian_3b_gd2po_hard_s0_save10.metrics.jsonl,/users/2/lian0190/DARA-paper-20260920/results/paper_bfcl_v4_20260920/inputs/haotian_3b_gd2po_hard_s0_save10.metrics.jsonl
haotian_3b_gd2po_hard_s1_save10,3B,gd2po_hard,1,PR租机3B,纳入,纳入,纳入,0.975,0.975,0.95703125,0.96044921875,10,12,54.25429722839049,97.37926299387705,53.58436137840283,95.93320339259876,rental_3b_20260920/evaluation/checkpoint_per_model.csv,rental_3b_20260920/training/runs/haotian_3b_gd2po_hard_s1_save10/metrics.jsonl,/users/2/lian0190/DARA-paper-20260920/results/rental_3b_20260920/training/runs/haotian_3b_gd2po_hard_s1_save10/metrics.jsonl
haotian_3b_gd2po_hard_s2_save10,3B,gd2po_hard,2,PR租机3B,纳入,纳入,纳入,0.975,0.9875,0.9658203125,0.96435546875,10,9,54.781175466732456,96.05735943939312,53.110833538942344,95.23225513222255,rental_3b_20260920/evaluation/checkpoint_per_model.csv,rental_3b_20260920/training/runs/haotian_3b_gd2po_hard_s2_save10/metrics.jsonl,/users/2/lian0190/DARA-paper-20260920/results/rental_3b_20260920/training/runs/haotian_3b_gd2po_hard_s2_save10/metrics.jsonl
3b-dara-s0,3B,dara,0,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.975,1.0,0.97802734375,0.9697265625,10,10,53.44032712394111,97.21265913548164,,,reference/per_model.csv,reference/training_logs/3b/dara_s0.jsonl,/scratch.global/lian0190/RD-GDPO-3B/20260913/haotian/rdgdpo_symmetric_seed0/metrics.jsonl
3b-dara-s1,3B,dara,1,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.975,1.0,0.9697265625,0.97314453125,10,9,54.088936178962086,98.2000988443908,,,reference/per_model.csv,reference/training_logs/3b/dara_s1.jsonl,/scratch.global/lian0190/RD-GDPO-3B/20260913/haotian/rdgdpo_symmetric_seed1/metrics.jsonl
3b-dara-s2,3B,dara,2,本机原始训练,纳入,未选入这组实验,未选入这组实验,1.0,1.0,0.96240234375,0.9638671875,10,10,54.92079940784605,96.34718440154694,,,reference/per_model.csv,reference/training_logs/3b/dara_s2.jsonl,/scratch.global/lian0190/RD-GDPO-3B/20260913/haotian/rdgdpo_symmetric_seed2/metrics.jsonl
3b-dara-s4,3B,dara,4,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.975,0.975,0.96826171875,0.97705078125,10,11,54.479295172300354,97.04178782943269,,,reference/per_model.csv,reference/training_logs/3b/dara_s4.jsonl,/scratch.global/lian0190/RD-GDPO-3B/20260913/haotian/rdgdpo_symmetric_seed4/metrics.jsonl
3b-dara-s5,3B,dara,5,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.975,0.975,0.9794921875,0.9775390625,10,10,53.8078121144831,97.29856119419017,,,reference/per_model.csv,reference/training_logs/3b/dara_s5.jsonl,/scratch.global/lian0190/RD-GDPO-3B/20260913/haotian/rdgdpo_symmetric_seed5/metrics.jsonl
