run_id,model_size,method,seed,step,correctness,format
haotian_1p5b_dvao_s3_save10,1.5B,dvao,3,10,1.4860953625291586,2.5
haotian_1p5b_dvao_s3_save10,1.5B,dvao,3,20,1.6826253954321146,3.75
haotian_1p5b_dvao_s3_save10,1.5B,dvao,3,30,1.6956573642790318,11.25
haotian_1p5b_dvao_s3_save10,1.5B,dvao,3,40,1.769815913401544,95.0
haotian_1p5b_dvao_s3_save10,1.5B,dvao,3,50,1.7781276006251574,95.0
haotian_1p5b_dvao_s3_save10,1.5B,dvao,3,60,1.8197942689061164,97.5
haotian_1p5b_dvao_s3_save10,1.5B,dvao,3,70,1.7886010870337485,96.25
haotian_1p5b_dvao_s3_save10,1.5B,dvao,3,80,1.8054760858416556,97.5
haotian_1p5b_dvao_s3_save10,1.5B,dvao,3,90,1.773601084947586,97.5
haotian_1p5b_dvao_s3_save10,1.5B,dvao,3,100,1.7640556305646897,97.5
haotian_1p5b_gd2po_hard_s4_save10,1.5B,gd2po_hard,4,0,-2.5875,2.5
haotian_1p5b_gd2po_hard_s4_save10,1.5B,gd2po_hard,4,10,1.4425239350646735,2.5
haotian_1p5b_gd2po_hard_s4_save10,1.5B,gd2po_hard,4,20,1.6008072143420577,92.5
haotian_1p5b_gd2po_hard_s4_save10,1.5B,gd2po_hard,4,30,1.7027028184384108,93.75
haotian_1p5b_gd2po_hard_s4_save10,1.5B,gd2po_hard,4,40,1.748782365769148,96.25
haotian_1p5b_gd2po_hard_s4_save10,1.5B,gd2po_hard,4,50,1.7935442686080934,96.25
haotian_1p5b_gd2po_hard_s4_save10,1.5B,gd2po_hard,4,60,1.7920832302421332,97.5
haotian_1p5b_gd2po_hard_s4_save10,1.5B,gd2po_hard,4,70,1.8027975156903266,97.5
haotian_1p5b_gd2po_hard_s4_save10,1.5B,gd2po_hard,4,80,1.8016424208879471,97.5
haotian_1p5b_gd2po_hard_s4_save10,1.5B,gd2po_hard,4,90,1.8106341224163771,97.5
haotian_1p5b_gd2po_hard_s4_save10,1.5B,gd2po_hard,4,100,1.7982657957822084,97.5
haotian_1p5b_gdpo_s0_save10,1.5B,gdpo,0,0,-2.528125,2.5
haotian_1p5b_gdpo_s0_save10,1.5B,gdpo,0,10,1.427523934468627,2.5
haotian_1p5b_gdpo_s0_save10,1.5B,gdpo,0,20,1.6395572131499647,7.5
haotian_1p5b_gdpo_s0_save10,1.5B,gdpo,0,30,1.5952921032905578,93.75
haotian_1p5b_gdpo_s0_save10,1.5B,gdpo,0,40,1.7359252210706473,96.25
haotian_1p5b_gdpo_s0_save10,1.5B,gdpo,0,50,1.7520355708897113,97.5
haotian_1p5b_gdpo_s0_save10,1.5B,gdpo,0,60,1.7761427138000727,97.5
haotian_1p5b_gdpo_s0_save10,1.5B,gdpo,0,70,1.7678597465157508,97.5
haotian_1p5b_gdpo_s0_save10,1.5B,gdpo,0,80,1.779535571485758,97.5
haotian_1p5b_gdpo_s0_save10,1.5B,gdpo,0,90,1.7936445839703083,97.5
haotian_1p5b_gdpo_s0_save10,1.5B,gdpo,0,100,1.7978288382291794,97.5
haotian_1p5b_gdpo_s1_save10,1.5B,gdpo,1,0,-2.54375,2.5
haotian_1p5b_gdpo_s1_save10,1.5B,gdpo,1,10,1.5669195363298059,2.5
haotian_1p5b_gdpo_s1_save10,1.5B,gdpo,1,20,1.523619713447988,92.5
haotian_1p5b_gdpo_s1_save10,1.5B,gdpo,1,30,1.694735786318779,92.5
haotian_1p5b_gdpo_s1_save10,1.5B,gdpo,1,40,1.729288315027952,97.5
haotian_1p5b_gdpo_s1_save10,1.5B,gdpo,1,50,1.7585334468632936,97.5
haotian_1p5b_gdpo_s1_save10,1.5B,gdpo,1,60,1.7658656969666482,97.5
haotian_1p5b_gdpo_s1_save10,1.5B,gdpo,1,70,1.7658656969666482,97.5
haotian_1p5b_gdpo_s1_save10,1.5B,gdpo,1,80,1.7650071809068322,97.5
haotian_1p5b_gdpo_s1_save10,1.5B,gdpo,1,90,1.7735786117613315,97.5
haotian_1p5b_gdpo_s1_save10,1.5B,gdpo,1,100,1.790865696594119,97.5
haotian_1p5b_grpo_s0_save10,1.5B,grpo,0,0,-2.528125,2.5
haotian_1p5b_grpo_s0_save10,1.5B,grpo,0,10,1.064994172565639,6.25
haotian_1p5b_grpo_s0_save10,1.5B,grpo,0,20,1.4543691720813512,3.75
haotian_1p5b_grpo_s0_save10,1.5B,grpo,0,30,1.4901727439835668,16.25
haotian_1p5b_grpo_s0_save10,1.5B,grpo,0,40,1.4935060756281018,91.25
haotian_1p5b_grpo_s0_save10,1.5B,grpo,0,50,1.643545308895409,92.5
haotian_1p5b_grpo_s0_save10,1.5B,grpo,0,60,1.6379203097894788,92.5
haotian_1p5b_grpo_s0_save10,1.5B,grpo,0,70,1.6917883150279522,92.5
haotian_1p5b_grpo_s0_save10,1.5B,grpo,0,80,1.6908954568207264,92.5
haotian_1p5b_grpo_s0_save10,1.5B,grpo,0,90,1.7407168872654437,92.5
haotian_1p5b_grpo_s0_save10,1.5B,grpo,0,100,1.6688418872654438,96.25
haotian_1p5b_grpo_s2_save10,1.5B,grpo,2,0,-2.54375,2.5
haotian_1p5b_grpo_s2_save10,1.5B,grpo,2,10,1.035266612097621,5.0
haotian_1p5b_grpo_s2_save10,1.5B,grpo,2,20,1.5189525039866567,2.5
haotian_1p5b_grpo_s2_save10,1.5B,grpo,2,30,1.551720673404634,73.75
haotian_1p5b_grpo_s2_save10,1.5B,grpo,2,40,1.5610659124329687,92.5
haotian_1p5b_grpo_s2_save10,1.5B,grpo,2,50,1.5804409105330706,92.5
haotian_1p5b_grpo_s2_save10,1.5B,grpo,2,60,1.5822915615513922,92.5
haotian_1p5b_grpo_s2_save10,1.5B,grpo,2,70,1.5927623407915235,92.5
haotian_1p5b_grpo_s2_save10,1.5B,grpo,2,80,1.654012341424823,92.5
haotian_1p5b_grpo_s2_save10,1.5B,grpo,2,90,1.6606194850057363,93.75
haotian_1p5b_grpo_s2_save10,1.5B,grpo,2,100,1.6700837712734937,93.75
haotian_1p5b_grpo_s5_save10,1.5B,grpo,5,0,-2.54375,2.5
haotian_1p5b_grpo_s5_save10,1.5B,grpo,5,10,1.348421369306743,2.5
haotian_1p5b_grpo_s5_save10,1.5B,grpo,5,20,1.530797741934657,2.5
haotian_1p5b_grpo_s5_save10,1.5B,grpo,5,30,1.5989227445796133,5.0
haotian_1p5b_grpo_s5_save10,1.5B,grpo,5,40,1.5292206740006804,91.25
haotian_1p5b_grpo_s5_save10,1.5B,grpo,5,50,1.562137340195477,91.25
haotian_1p5b_grpo_s5_save10,1.5B,grpo,5,60,1.6351135298609734,92.5
haotian_1p5b_grpo_s5_save10,1.5B,grpo,5,70,1.6911633126437664,92.5
haotian_1p5b_grpo_s5_save10,1.5B,grpo,5,80,1.6603597424924375,91.25
haotian_1p5b_grpo_s5_save10,1.5B,grpo,5,90,1.6699133135378361,92.5
haotian_1p5b_grpo_s5_save10,1.5B,grpo,5,100,1.6924133129417895,92.5
