model,model_size,method,seed,step,summary,non_live_accuracy,live_accuracy,multi_turn_accuracy,average_accuracy,non_live_format,live_format,multi_turn_format,average_format
haotian-3b-dvao-s0-step90,3B,dvao,0,90,/scratch.global/lian0190/BFCL-v4-evaluation/20260917/dara_checkpoint_study/models/haotian-3b-dvao-s0-step90/summary.json,83.1875,68.46780162842339,8.25,53.30176720947446,100.0,99.85196150999259,94.6101104104229,98.15402397347184
haotian-3b-gd2po-hard-s0-step10,3B,gd2po_hard,0,10,/scratch.global/lian0190/BFCL-v4-evaluation/20260917/dara_checkpoint_study/models/haotian-3b-gd2po-hard-s0-step10/summary.json,76.9375,64.69282013323465,2.75,48.12677337774488,95.39583333333333,98.14951887490747,21.200265929084814,71.58187271244188
haotian-3b-gd2po-hard-s0-step20,3B,gd2po_hard,0,20,/scratch.global/lian0190/BFCL-v4-evaluation/20260917/dara_checkpoint_study/models/haotian-3b-gd2po-hard-s0-step20/summary.json,81.0,67.9496669133975,3.7500000000000004,50.8998889711325,100.0,99.55588452997779,40.401132772100986,79.98567243402626
haotian-3b-gd2po-hard-s0-step30,3B,gd2po_hard,0,30,/scratch.global/lian0190/BFCL-v4-evaluation/20260917/dara_checkpoint_study/models/haotian-3b-gd2po-hard-s0-step30/summary.json,82.8125,68.5418208734271,4.875,52.07644029114237,99.875,99.7039230199852,62.09081581921867,87.22324627973462
haotian-3b-gd2po-hard-s0-step40,3B,gd2po_hard,0,40,/scratch.global/lian0190/BFCL-v4-evaluation/20260917/dara_checkpoint_study/models/haotian-3b-gd2po-hard-s0-step40/summary.json,82.54166666666667,69.2820133234641,6.125,52.64955999671026,100.0,99.7039230199852,71.11155672164524,90.27182658054348
haotian-3b-gd2po-hard-s0-step50,3B,gd2po_hard,0,50,/scratch.global/lian0190/BFCL-v4-evaluation/20260917/dara_checkpoint_study/models/haotian-3b-gd2po-hard-s0-step50/summary.json,82.9375,68.2457438934123,7.000000000000001,52.72774796447076,99.875,99.3338267949667,73.52965782716092,90.91282820737587
haotian-3b-gd2po-hard-s0-step60,3B,gd2po_hard,0,60,/scratch.global/lian0190/BFCL-v4-evaluation/20260917/dara_checkpoint_study/models/haotian-3b-gd2po-hard-s0-step60/summary.json,83.0,68.6898593634345,6.75,52.81328645447817,100.0,99.9259807549963,76.06143609136869,91.995805615455
haotian-3b-gd2po-hard-s0-step70,3B,gd2po_hard,0,70,/scratch.global/lian0190/BFCL-v4-evaluation/20260917/dara_checkpoint_study/models/haotian-3b-gd2po-hard-s0-step70/summary.json,82.8125,68.76387860843819,8.125,53.2337928694794,99.875,99.7779422649889,81.95747197546166,93.87013808015018
haotian-3b-gd2po-hard-s0-step80,3B,gd2po_hard,0,80,/scratch.global/lian0190/BFCL-v4-evaluation/20260917/dara_checkpoint_study/models/haotian-3b-gd2po-hard-s0-step80/summary.json,82.66666666666667,69.80014803849001,8.375,53.61393823505223,100.0,99.7039230199852,89.0233700152822,96.2424310117558
haotian-3b-gd2po-hard-s0-step90,3B,gd2po_hard,0,90,/scratch.global/lian0190/BFCL-v4-evaluation/20260917/dara_checkpoint_study/models/haotian-3b-gd2po-hard-s0-step90/summary.json,82.75,69.43005181347151,7.75,53.31001727115717,100.0,100.0,91.25707024289034,97.08569008096345
